ID,Transcription
ID_OZFQCF,So just who is Dol Chedi and his associates?
ID_EBLKEF,"Last evening, Mrs. Janet Jagan, Guyana's prime minister and the presidential candidate for the People's Progressive Party, was struck but not injured when stones were thrown at a campaign meeting at which she was due to speak."
ID_BNOUHX,"Merlin Otis agent Daniel Zimmerman, the international amateur athlete,"
ID_RIXHEI,There's no question that the PLP has been around for too long.
ID_NQUUZU,We are due to send them to the office of the president by noon tomorrow.
ID_OWRTFC,"He has not so far got back to me, but the Governor General this morning held discussions with him and took the decision to sue me in."
ID_LHFNET,"From London, BBC Caribbean Report."
ID_IBDNAU,"I'm Hugh Crosskill, and this is BBC Caribbean Report."
ID_YKGIJV,Dominica's opposition leader tells Saudi dissident Mohammed al-Masri his safety cannot be assured on the island.
ID_KHCNVY,"Vincent, who had been moving to tighten up scrutiny of offshore banks after being put on a blacklist of countries where the authorities are believed to be soft and money laundering."
ID_PQAIIJ,A serious blow struck against NACO trafficking in the Caribbean.
ID_VVVRIK,"Perhaps at the very beginning, but there are problems."
ID_AOPEMO,"Having ruled the controversial nineteen ninety seven elections null and void, Justice Claudette Singh gave the parties involved in the elections petition a chance to reach consensus among themselves"
ID_ISRCAS,"The explosion on Sunday destroyed the boat, which had been anchored off one of St."
ID_UHAPNG,"I mean, certainly there is a demand, but there is not effective purchasing power in Eastern Europe."
ID_CPOFMQ,"If fifty trays of eggs arrive at the Russian store, they distribute thirty and sell the rest for their own profit."
ID_GJLFFL,"I remember in my Jeunet Creole address immediately after my appointment, I thought, well, since it was Jeunet Creole, it was perhaps the most obvious thing to do to address the nation in Creole."
ID_RPGYDL,"The ousted Prime Minister Nawaz Sharif remains in detention, and it's not at all certain whether Ms."
ID_VDZPAO,"Therefore, I cannot understand why the English and the French people who are doing the job in Brussels of the Commission will not give us our rights, what we are claiming for."
ID_WXDYKH,"As the scale of the devastation from Hurricane Mitch becomes more apparent, international relief aid has been pouring into the stricken Central American countries."
ID_AZVGNM,We're trying to bring democracy for the Cuban people so that all of these agreements and acts between the governments of Clinton and Castro become totally unnecessary.
ID_KBXUAF,And the Carter Centre concerned over reports of alleged electoral malpractice in the run-up to Ghana's elections.
ID_NZJAUT,The CAIC slams CARICOM in a four-page statement after the region's major social partners are excluded from the Council of Ministers meeting in Guyana.
ID_QLZTUU,Karakum countries move to guard their financial services sector and attack laws.
ID_HUIYYY,"While the countries of Central America have been counting the human and environmental cost, the economic scale of the disaster is becoming more apparent."
ID_MVCJNY,Senator Helms feels he can tell the U.N.
ID_VDMNUH,But Mr. Bikram is reviving the issue because he wants the PNM government to keep their promise of taking care of him financially.
ID_GKZKTX,And a senior member of the opposition party in Britain calls for tough new immigration controls on Jamaicans.
ID_WRXDMT,What began earlier this month as a strike by teachers soon escalated into protests against the government of President René Préval.
ID_VFTEZR,The European Commission has approved ideas for changes to the European Union banana regime.
ID_VPZUDU,"But with Washington seemingly preoccupied with the Monica Lewinsky affair and the contents of Kenneth Starr's report, are they in the mood to even listen to Caribbean concerns?"
ID_YANPCR,I am Keith Stonegraves and this is BBC Caribbean Report.
ID_CDMGWH,"These parties certainly, if they want to exist, have to do something in order to acquire the popularity which is so sorely lacking."
ID_QUVLXH,Jamaica's teachers are poised to take industrial action and more than a dozen are injured in protests in the Dominican Republic.
ID_PYONVR,I'm Oren Gordon and this is BBC Caribbean Report.
ID_PUPLXD,"While stating he had no plans to return to Haiti in the near future, Jean-Claude Duvalier said he chose to break his silence in Paris because he feels the time warrants it, and he says he hopes his Duvalierist followers will heed his call."
ID_NJVXGO,"From London, BBC Caribbean Report."
ID_XQHIRU,Warnings that the Jamaican dollar is on the brink of another downward spiral.
ID_WDQJGB,"Assistant Secretary General of the OAS, Ambassador Christopher Thomas, says that's because the organization considers it an area of great importance."
ID_PBXFEE,The Caribbean Conference of Churches is expressing surprise at the Vatican's decision to officially recognize the illegitimate government in Haiti.
ID_UEAFRT,The most urgent task facing the ministerial group is prodding Pakistan towards democracy.
ID_DCKTFN,Trade is essential to growth in developing countries.
ID_FBHCFX,"Lucia-based regional airline Helen Air announced the day it had ceased operations, while denying reports it had been sold."
ID_YNDRNI,And so they argued that there had to be sort of another decision by the WTO whether or not they were in compliance before the U.S.
ID_DKTJHF,"The Bahamian Prime Minister Hubert Ingram left today for the Commonwealth Summit, having suffered what appeared to be a humiliating defeat in yesterday's referendum."
ID_WDJITU,He says Mr. Boutize has not been running from justice.
ID_XVLCKX,Opposition MPs in Grenada today walked out of the island's parliament during debate on a motion of no confidence against the governing new National Party of Prime Minister Dr. Keith Mitchell.
ID_VLAMFP,"The shopping list, as it's being described, was set to include administrative matters, revenue sharing, and issues related to international business and finance."
ID_FIIFCH,Ecuador angry at the US and EU over the banana dispute.
ID_WBQFRS,"He says because of the delicacy of the case, certain information cannot be disclosed at the moment."
ID_PGROBD,Amnesty International was today busy launching a report on the death penalty in the Caribbean.
ID_VNQUYC,"No, it's not necessary to have people from abroad to help us."
ID_UZKRWH,"I'm Hugh Crosskill, and this is BBC Caribbean Report."
ID_NDXWFT,"The time scale is, of course, another issue."
ID_YPZDQK,"And the relationships there will always be strained, and you will never perform as effectively"
ID_ZVEQDG,I'm Ken Richards and this is BBC Caribbean Report.
ID_LFGYZA,"Mexico, along with the Caribbean, is one of the major drug trafficking routes in the United States."
ID_DUJTFZ,He blamed what he called megaphone diplomacy across the Atlantic for the breakdown in the relationship.
ID_DJFCAQ,And let us not allow the rantings and ravings of frustrated politicians to create anxieties among us.
ID_NTUHXK,The international community steps up aid to Central America.
ID_NKMZQJ,"And I think, in a sense, with all due respect, a lot of the Caribbean countries have incurred the error of, before talking to us, judging the situation."
ID_PRHDCV,other senior attorneys and the leader of the opposition.
ID_WDEUED,"I asked him whether the union has any proposals of its own, as the government has been requesting."
ID_VUDESN,"of the Election Commission's direct control, and those two factors are the printing of the ballots, because there are thousands of offices being run, and so the printing companies that are printing the ballots have to be able to get the ballots out on time for them to be distributed across the country."
